file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,0,11,주인공,えーっと、たしか……,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,1,6,주인공,あ、アテナ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,2,28,Athena,<이름:3232>!わたしがこの店に来るって<6E5C>言ったの、覚えてたんだ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,3,5,주인공,偶然だよ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,4,28,Athena,フフ.まぁいいや.ねぇ<이름:3232>、<6E5C>どっちの服がいいと思う?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,5,11,[선택지],ミニスカートチャイナ服,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,6,10,주인공,やっぱミニスカかな,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,7,14,Athena,えー<이름:3232>、オジサンくさい!,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,8,9,주인공,わ、悪かったなぁ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,9,14,주인공,アテナはチャイナが似合うよ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,10,6,Athena,ほんとう?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,11,15,주인공,ああ.昔っからよく着てたろ?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,12,11,Athena,あ、同じクラスの子だ,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,13,17,주인공,げ、アテナファンの野郎じゃないか,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,14,17,[선택지],アテナから離れるアテナのそばにいる,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,15,4,Athena,<이름:3232>?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,16,14,주인공,(しーっ.話しかけるなよ),,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,17,5,[효과음/내레이션],…………,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,18,16,주인공,……ふぅ.なんとか通り過ぎたな,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,19,17,Athena,もう、隠れなくたっていいじゃない,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,20,16,주인공,とやかく言われるよりいいだろ?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,21,4,Athena,もぅ!,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,22,34,UNKNOWN_16,あぁ、そこにおられるのは<6E5C>アテナちゃん!<6E5C>そして……なぜに<이름:3131>!?,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,23,29,UNKNOWN_17,アテナちゃんに付きまとうのも、<6E5C>いい加減にするでヤンス!,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,24,10,주인공,いちいちうるせーな,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,25,10,Athena,3人とも仲良いわね,,
dom1Athena_L01.mes,Script/dom1Athena_L01.mes,26,13,주인공,(仲良いのか?これ……),,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,0,7,[효과음/내레이션],♪ピンポ~ン,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,1,3,주인공,ん?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,2,5,[효과음/내레이션],ガチャッ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,3,10,Athena,<이름:3232>!持ってきたよ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,4,17,주인공,笹の葉に飾りに短冊か.マメだなぁ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,5,23,Athena,日本の行事は大事にしないとね!<6E5C>入っていい?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,6,9,[선택지],もちろんごめん……,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,7,27,주인공,もちろんいいぜ.でもこの歳で<6E5C>願い事って言ってもなぁ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,8,40,Athena,信じる者は救われる、だよ.<이름:3232>、<6E5C>わたしが何のお願い事をするか、<6E5C>当ててみて?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,9,4,주인공,えぇ?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,10,13,[선택지],コンサートの成功恋愛の成就,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,11,17,주인공,やっぱり、コンサートの成功だろ?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,12,21,Athena,それは自分の力でちゃんと成功<6E5C>させるよ!,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,13,9,주인공,じゃあ、なんだよ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,14,7,Athena,ひみつだよ~,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,15,13,주인공,恋が叶いますように、か?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,16,13,Athena,ん?けっこうスルドイな~,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,17,7,주인공,ほんとうかよ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,18,11,Athena,さあ、どうでしょう?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,19,12,주인공,じゃあ、俺の願い事は?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,20,17,Athena,えっとねー.お金持ちになりたい?,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,21,29,주인공,アタリだ!さすがアテナ.<6E5C>人の心が手に取るようにわかるな,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,22,21,Athena,昔っから同じじゃない!<6E5C>読むまでもないよ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,23,37,주인공,でも、その能力はやっぱり便利だよ<6E5C>なぁ.人の気持ちがわかるって<6E5C>いうのは,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,24,35,Athena,思考までわかるわけじゃないよ.<6E5C>感情が伝わってくるの.<6E5C>喜怒哀楽とか,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,25,35,주인공,相手の本心がわかるわけだろ?<6E5C>顔では笑ってても、<6E5C>内心は嫌ってるとか,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,26,3,Athena,うん,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,27,26,주인공,すげーよな.それがあれば芸能界で<6E5C>も絶対成功するよ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,28,33,Athena,イヤだよ.知りたくもないのに、<6E5C>周りの感情がわかっちゃうのは……,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,29,17,주인공,ま、いい人間ばかりじゃねーもんな,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,30,42,Athena,こんなこと知ってるの、<이름:3232>だけな<6E5C>んだからね.他の人に知られたら、<6E5C>怖がられちゃう,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,31,40,주인공,俺は小さい頃から知ってたからな.<6E5C>まぁ、あんまり思い込むなよ.<6E5C>短冊、書こうぜ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,32,4,Athena,うんっ,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,33,9,주인공,ごめん…….あの,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,34,40,Athena,……そっか、他の子と会うんだね.<6E5C>じゃあ、わたし帰るよ.<6E5C>突然来てごめんね……,,
dom1Athena_L02.mes,Script/dom1Athena_L02.mes,35,8,주인공,あ、アテナ……,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,0,12,주인공,ちょっと休憩でもするか,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,1,4,Athena,<이름:3232>!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,2,4,주인공,アテナ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,3,32,Athena,<이름:3232>、もうきもだめしした?<6E5C>わたしまだなんだ.<6E5C>仕事してたから,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,4,5,주인공,大変だな,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,5,12,Athena,今からいっしょに行こ?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,6,13,[선택지],いいぜ行っても面白くないぜ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,7,4,주인공,いいぜ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,8,8,Athena,手、つなごうよ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,9,7,주인공,え?なんで?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,10,25,Athena,<이름:3232>は昔っから怖がりでしょ?<6E5C>遠慮しなくていいよ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,11,16,[선택지],バカにするな!怖いのはアテナだろ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,12,9,주인공,バカにするなよ!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,13,21,Athena,もう、そんなに怒らなくてもいい<6E5C>じゃない,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,14,14,주인공,いいからさっさと行こうぜ!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,15,4,Athena,はーい,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,16,13,주인공,怖いのはアテナの方だろ?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,17,11,Athena,そんなことないわよー,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,18,15,주인공,どうだかな.さっさと行こうぜ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,19,4,Athena,うんっ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,20,8,[효과음/내레이션],ドロドロドロ~,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,21,5,Athena,キャー!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,22,7,[효과음/내레이션],うらめしや~,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,23,5,Athena,キャー!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,24,23,Athena,……へぇ.けっこう怖かったね.<6E5C>驚いちゃった,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,25,6,주인공,……アテナ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,26,3,Athena,ん?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,27,13,주인공,ほんとうに怖がってたか?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,28,3,Athena,え?,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,29,17,주인공,なんか、驚き方が演技っぽかったぞ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,30,60,Athena,……バレた?<6E5C>エヘ.どうも、人が出てくる<6E5C>きもだめしって、驚かそうとする<6E5C>気持ちがわかって、<6E5C>ちゃんと楽しめないのよね,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,31,34,주인공,……アテナはアイドルだけじゃ<6E5C>なく、女優にもなれるかも<6E5C>しれねぇな,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,32,30,UNKNOWN_29,<0110><0000><0000><0000><0000><0000><0038><002A><0002>きもだめしなんて、<6E5C>行っても面白くないぜ,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,33,39,Athena,……そんなこと言って、<6E5C>他の女の子と見るんでしょう!<6E5C>わかったよ、じゃーね!,,
dom1Athena_L03.mes,Script/dom1Athena_L03.mes,34,32,주인공,あ、アテナ……!<6E5C>なんだよ、勝手に人の心を<6E5C>察知しやがって……,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,0,21,주인공,うーん、朝メシがない.<6E5C>何か買いに行くか,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,1,5,[효과음/내레이션],ガチャッ,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,2,4,Athena,<이름:3232>!,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,3,17,주인공,あれ、アテナ.こんな時間に仕事?,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,4,3,Athena,うん,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,5,27,주인공,どんどん忙しくなっていってる<6E5C>なぁ.学校、大丈夫かよ,,
dom1Athena_L04.mes,Script/dom1Athena_L04.mes,6,5,Athena,平気だよ,,
